evaluation,label
用了一段时间，感觉还不错，可以,正面
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,正面
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,正面
不错,正面
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,正面
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,正面
非常好，客服还特意打电话做回访,正面
物流小哥不错，辛苦了，东西还没用,正面
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,正面
非常漂亮，也非常清晰，反应速度也快。,正面
很不错家里都喜欢。。。一次买了三台,正面
送货非常快！质量非常好，这次购物非常愉快！！,正面
58好大……都不错。看质量咯,正面
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,正面
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,正面
目前感受还不错,正面
速度快、服务态度很好,正面
挺好的，物流也快，两天就到了,正面
发货速度快,正面
送货很快，安装服务也很好,正面
质量很好，物流服务到位,正面
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,正面
便宜，能用，这个价格可以。,正面
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,正面
性价比极高的一款电视机，值得 拥有,正面
电视不错 晒单： 收起 向左转 向右转,正面
还不错啊，高端大气上档次，外观喜欢。,正面
还不错,正面
这台电视是给远在家乡的父母买的。父母年纪大了，这种简单的操作系统比较适合他们。搞活动半夜下的单子，第二天就送到了，安装简单，系统运行速度也很快。各种类别节目都很齐全，清晰度很好。父母反应很满意！,正面
蛮好的。物美价廉。我同事看我买了也买了两台。还包上门安装。,正面
挺好的，就是感觉买小了，应该买43寸的,正面
不错，很好,正面
相信日本品牌，品质放心。,正面
好，一次不错的选择，非常清楚，非常好。,正面
给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,正面
挺不错的 画面清晰 外观既好看又时尚,正面
给老爸卧室买的，质量很不错，第一次买夏普，网络直接连接，送了一年的爱奇艺，不错,正面
给姑姑买的卧室电视，不错哦。上门安装加挂架多付80而已。姑姑很满意,正面
服务很好，,正面
价格便宜，性价比挺好，刚刚开始用,正面
电视收到了，很好，质量好，色彩也好，安装师傅也有耐心！棒棒！,正面
电视不错，屏幕够大。,正面
电视到货很久了，今天才安装好，很激动，效果很好，京东物流也很给力，必须给五分?,正面
还不错,正面
宝贝收到了，发货速度很快，价格实惠，包装完整，非常满意！,正面
京东家电正品低价服务到家,正面
京东值得信赖,正面
58寸！你想象不的视觉体验！操作界面简单，遥控的语音识别很是不错，影片库也很全，从最新的到最热的，从此爱上看电视！,正面
为电视的问题考虑了半天，从LG换到三星，最终选择了索尼。没有usb3.0和hdmi2.0的电视，以后必然难以支持4K60帧的视频，这个价位选索尼没毛病,正面
团购比平时便宜2O0元，抵,正面
电视真厚啊，后面质感太次了，遥控器后盖怎么怪怪的，缺一个甲，怎么回事？都这样吗？系统没有乐视好。,负面
配件不齐全，没有墙壁挂架，无法安装，还要单独购买,负面
开机慢，喇叭声音效果一般，买了两天就降价，还好补了差价。,负面
一分都不想给，京东这次让我太失望了，买的电视没有声音，说是退货上门取件，规定好的时间不去，一直拖着，联系客服，客服也不回应，千万不要相信京东自营，说的特别好，做起事来，你就知道了，这次真是太失望了！,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
硬件一般，但是软件很棒，,负面
这价位的话算32寸里不错的，塑料外壳有点低端，做工一般，屏幕显示效果也马马虎虎，没有物理开机键，通电后自动开机有点不人性化只能长时间待机，接口还算齐全，开机慢内存小装不了多少app，一般看看机顶盒也够用了,负面
材质不好塑料感明显，电视分量很轻，厚度比我5年的索尼还厚，硬件参数还可以，内容资源不错,负面
电视很满意，安装差了一点，安装师傅只说会有划痕，没想到会这么严重，墙体颜色不太好补，对于有强迫症的老公来说，已经抓狂了，不过还是给个正常评价吧，希望电视能够不让人失望,负面
"电视太厚了,比我另一个5年前的还厚,做工一般",负面
非常差的产品，质量差的不能再差。刚刚买来一个月换第一次，结果换货换好几天，换来傍晚到货，看一会，出去玩了回来开不了机。服了,负面
价格便宜，色彩不错，就是有时候打开应用的时候会黑屏。。,负面
显示效果一般，没想象中的惊艳。电视材料用的也很廉价。,负面
