id,date,comment,,,,,,,,,
佐***里,2018-6-16 10:43,手机挺不错的,,,,,,,,,
左***1,2018-6-11 08:58,手机给两个妈妈买的，蛮好用，她们都喜欢,,,,,,,,,
最***爱,2018-6-9 21:20,手机不错性价比高，买台给孩子用，希望能用长久点。,,,,,,,,,
自***8,2018-6-9 15:04,这个估计是买的第七个小米了，全家小米，棒棒哒,,,,,,,,,
自***6,2018-6-10 12:30,挺舒服的比我自己苹果6p都舒服?手机一点也不卡用了几天还不错5??好评一个,,,,,,,,,
紫***鸢,2018-6-14 15:41,帮朋友买的，收到说很满意，旗舰店的东西还是很放心的。,,,,,,,,,
紫***茵,2018-6-20 08:21,挺好，满意,,,,,,,,,
紫***薇,2018-6-12 10:41,这款手机买来给爸爸用的，目前没听老爸说有啥毛病，应该还可以吧,,,,,,,,,
紫***丶,2018-6-19 20:17,给老人用还行,,,,,,,,,
紫***布,2018-6-13 10:49,物美价廉，值得入手，价位低还是正品，简直买到就是赚到，喜欢的亲完全可以信任他家，我也是比较了很多才选择他家的，收到货品后我确认选对了，低价位高品质，值得再次光顾和信赖！,,,,,,,,,
紫***2,2018-6-21 10:03,感觉还行,,,,,,,,,
梓***小,2018-6-5 07:06,送给老爸的，老爸很喜欢用着挺好的。商家发的顺丰，第二天就到货了，物流超赞，超赞。比这边实体店便宜。老爸点名要的小米手机，说是网好。,,,,,,,,,
子***鑫,2018-5-24 12:01,用了两天再来评价的。手机电池续航能力一般，打打电话什么的用个两三天还是可以的。拿在手上质感不错，尤其是送的磨砂贴膜。不太喜欢背面的曲面。总体操作还是比较舒服的，与之前用的米4使用上更方便了。699这个价格可以接受了，毕竟还是全网通的。,,,,,,,,,
子***日,2018-6-2 21:09,东西很不错，小米的手机都是一如既往地好，质量好，价格低，好评不解释。很喜欢这个特不错，真的很好，很好看的啊！,,,,,,,,,
卓***5,2018-6-16 16:01,发货速度快，小米就是好！,,,,,,,,,
庄***3,2018-6-20 19:40,儿子给买的，挺好的，字可以调大，声音也够大。用着挺舒服的。非常满意。,,,,,,,,,
专***号,2018-6-7 12:24,不错，运行速度贼快，贼快，贼快,,,,,,,,,
竹***2,2018-6-12 08:14,目前还不不错，先好评吧,,,,,,,,,
猪***人,2018-6-11 21:36,第一份工资~送老妈的,,,,,,,,,
猪***哈,2018-6-20 08:36,很满意，给老爸买的，已经用了段时间，目前没什么问题。,,,,,,,,,
朱***物,2018-5-26 08:41,此用户没有填写评论!,,,,,,,,,
朱***7,2018-6-9 14:47,小米性价比还是没得说的,,,,,,,,,
朱***2,2018-6-15 22:08,价格优惠，很好有，比较好,,,,,,,,,
周***昊,2018-6-19 15:13,一份价钱一分货 手机发烫严重 字体屏幕能变大微信什么的软件打开还是小字体老人用不了,,,,,,,,,
周***z,2018-6-14 07:07,帮公公买的，不知道怎样，先给好评。便宜,,,,,,,,,
周***n,2018-6-6 20:19,小巧，美观。用着方便。,,,,,,,,,
周***8,2018-6-10 17:29,手机还是比较有手感，够用了,,,,,,,,,
周***7,2018-6-4 22:02,此用户没有填写评论!,,,,,,,,,
周***4,2018-6-16 08:38,大家千万不要在这里买这个手机，我买了十天不到，完全用不了了，每天找客服退，他们一直不处理，也不给退，真的好厌烦了，绝对真实,,,,,,,,,
周***3,2018-6-8 18:36,帮朋友买的。占时还没问题。衣服追评看看,,,,,,,,,
周***1,2018-5-4 14:17,此用户没有填写评论!,,,,,,,,,
钟***6,2018-5-19 16:59,过几天好用给爸再买一个,,,,,,,,,
制***术,2018-6-8 16:26,小米手机感觉非常好，原来一直用杂牌机，现在用了小米，感觉反应速度非常快，电池耐用持久，我想说，以后我只会买，小米,,,,,,,,,
只***p,2018-6-8 14:42,很好的，手机很好，外公很喜欢，我家一家都是小米,,,,,,,,,
正***拍,2018-6-4 19:17,手机是帮我妈买的，好像她说也还行，以后追评,,,,,,,,,
珍***8,2018-6-15 07:50,手机质量很好   用了十多天目前没有任何问题,,,,,,,,,
这***使,2018-6-16 19:22,不错，送公公的，他挺喜欢,,,,,,,,,
这***你,2018-6-17 20:21,喜欢，好用，忠实米粉、,,,,,,,,,
这***啊,2018-6-15 16:33,怎么说呢，我刚买不够10个小时就降价了几十块，虽然不多，但是心里不好受，另外就是，这是真的老人机，玩农药勉强能玩，会很卡，各位要下手的要注意了解这点，再说一次，这是老人机老人机老人机,,,,,,,,,
赵***洪,2018-6-13 16:38,屏幕清晰 外观漂亮 功能齐全 发货及时,,,,,,,,,
赵***哒,2018-6-16 18:42,手机很好用 妈妈很喜欢,,,,,,,,,
赵***9,2018-6-12 23:18,给家里人买的，很好用,,,,,,,,,
赵***8,2018-6-12 13:48,用着挺满意的，老妈很喜欢这款颜色，卖家服务也很好，祝你们生意兴隆&hellip;&hellip;,,,,,,,,,
赵***6,2018-6-17 15:45,手机不错，给妈妈买的，到的很快,,,,,,,,,
掌***间,2018-5-19 18:27,此用户没有填写评论!,,,,,,,,,
长***柰,2018-6-11 19:26,很好，再来当备用机，非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好,,,,,,,,,
长***度,2018-6-19 20:30,不错，信号比较强 可以接受吧 可以接受吧，毕竟价钱摆在那里 与其它手机差不多。 这个档次的手机算不错的。 没接触过。,,,,,,,,,
张***勇,2018-6-14 13:51,给家里老人买的，挺好用的。价钱也便宜，挺实惠的,,,,,,,,,
张***叶,2018-6-9 09:51,货收到几天了，用了之后才来评价。个人感觉还不错，物美价廉吧！,,,,,,,,,
张***黎,2018-6-6 21:00,客服态度很好，我老妈给我说屏碎了，我赶紧找客服，对话如下，后来让老妈把保护膜撕了发现是膜坏了～,,,,,,,,,
张***风,2018-6-15 18:49,一直买小米手机,,,,,,,,,
张***大,2018-6-19 22:06,给爷爷买的，好用,,,,,,,,,
张***9,2018-6-20 09:01,小米的性价比还是挺高的，买给爸爸用的，挺满意的,,,,,,,,,
张***8,2018-5-25 18:26,帮家人买的，没有晒图。性价比还是非常不错的，之前也给家里老人小孩子读书的买过几台小米的，红笔来说总体还行，正常的看电视微信什么单位也能正常使用，主要还是开心就好！,,,,,,,,,
张***5,2018-6-4 14:05,还不错，是正品，一直喜欢小米手机，活动价买的，性价比很高，这款手机大小是我喜欢的。,,,,,,,,,
张***1,2018-6-5 10:15,手机很好，老婆很喜欢，下次再来这家买，快递很快，第二天就到了,,,,,,,,,
张***0,2018-6-19 10:09,太垃圾了，图片为证！！！,,,,,,,,,
战***飞,2018-6-18 17:33,给爸爸买的手机，接电话声音够大，电池容量还不错，老人机，性价比不错，其他性能不做评价，还没用到。,,,,,,,,,
宅***翼,2018-6-20 16:04,买给妈妈用的,,,,,,,,,
责***向,2018-6-16 21:35,累计算算买的第八个小米手机了，实惠够用就好吧，看了好久的小屏机，这个价位的小屏机不好找，就是买过后出了米8se和红米6；价位在这没大毛病，就是亮屏貌似慢了半拍，总体好评,,,,,,,,,
早***烦,2018-6-17 18:53,给爸爸买的手机，他非常满意，非常喜欢，好评 好评 好评！！！！！！！！！？,,,,,,,,,
再***4,2018-6-21 18:57,手机挺好用的,,,,,,,,,
仔***9,2018-6-4 11:23,性价比高 物流速度快 外观看起来还挺精致 这个配置奶奶用 足够了,,,,,,,,,
砸***7,2018-6-14 23:12,第一次买小米手机，物流很快值得赞！客服也很负责，货到后来电确认！赞！冲这两样又买了一个小米充电宝！手机手感不错！性能嘛，暂时还算流畅！给老人家用的这配置应该可以的！就是不知道电池能否仅用！过段时间再追平！,,,,,,,,,
云***影,2018-6-10 18:32,用了一下，还是比较顺手，买给父亲节的礼物，爸爸应该会喜欢的,,,,,,,,,
云***3,2018-6-13 16:01,用着不错，第一天好评，后期再追加,,,,,,,,,
岳***学,2018-6-6 23:05,奶奶还在学 这手机像翻新机 不像新的,,,,,,,,,
岳***瑞,2018-6-11 23:29,非常好非常喜欢小米，一直是我的热爱。,,,,,,,,,
月***芸,2018-6-5 20:38,╯^╰很好买了很多小米了每次都没有失望,,,,,,,,,
月***忆,2018-6-14 10:14,还不错，性价比高,,,,,,,,,
月***荣,2018-6-19 15:56,此用户没有填写评论!,,,,,,,,,
月***年,2018-6-18 07:05,人生来孤单，年长后的岁月更是如此。每个人都有各自的生活，大家各有各的家庭，各有各的鸡毛蒜皮。  真正的生活也必须由你自己去经历。不要指望任何人永远理解你。  学会一个人消化理解，一个人默默蛰伏。  当你咬牙挺过各种难以逾越的内心痛苦，当你坚持走过一段孤独的长路，你会发现，一切并没有想象中的那么难。  甚至孤独最后也变成了一种美好的享受。  ?,,,,,,,,,
月***8,2018-6-19 11:15,手机非常好用。小米就是好。,,,,,,,,,
愿***首,2018-6-19 08:36,占时没有问题挺好用,,,,,,,,,
愿***4,2018-6-10 10:58,挺好挺好不错不错！很实用！,,,,,,,,,
缘***7,2018-6-20 10:25,东西挺好的，就是服务有点不给力,,,,,,,,,
媛***爸,2018-6-11 16:05,给老人买的，老人很喜欢，用着还不错，待机时间长，还有老人机模式，老人用着很习惯，总之很满意！,,,,,,,,,
原***呀,2018-6-20 23:55,用起来很上手,,,,,,,,,
豫***1,2018-6-4 21:46,续航能力：手机收到了！红米5a外观漂亮精致，手感相当好，功能基本都有！对一个不常玩手机的16g内存 已经足够了。,,,,,,,,,
煜***啊,2018-6-2 22:10,给妈妈买的，收到货就下载了王者，玩的还可以，不卡，,,,,,,,,,
欲***妖,2018-6-4 13:15,反应挺快的，爸爸很开心勒，,,,,,,,,,
郁***8,2018-6-6 13:45,买了好几台了，放在店里，作为每个店的专用手机，联络顾客，便宜划算，使用方便。,,,,,,,,,
郁***6,2018-6-19 01:50,真无语第一次试过三天才发货,,,,,,,,,
玉***家,2018-6-19 12:49,手机还不错，可是标配没有耳机，有点那个啥了哈,,,,,,,,,
玉***8,2018-6-5 11:38,小米手机第四次购买，之前忘记领5元优惠券了，跟店家协商了半天也没用，很小气的商家，七百元的货，5元都舍不得返回，太小气了，我买人家30元的货，还返现5元呢，我又是老客户，一点面子也不给，下次买荣耀的手机，也不错，也性价比高，不比小米差,,,,,,,,,
玉***6,2018-6-11 19:11,手机很漂亮，轻薄漂亮，系统很流畅，很喜欢,,,,,,,,,
玉***3,2018-6-12 23:16,快递员好评！手机还没有用，等用过了在来评价,,,,,,,,,
雨***鱼,2018-6-21 21:51,买给长辈使用，性价比极高。目前为止使用感还是很好，长辈们都非常满意，买完一部又一部，还帮朋友买了。不过这个银灰色实物真的不好看，香槟金色的比较好看。,,,,,,,,,
雨***情,2018-6-13 10:44,刚用了几天，性价比还可以，一直是小米米粉，希望越做越好,,,,,,,,,
雨***9,2018-6-10 14:23,挺好的，性价比高 下次需要还会支持小米的,,,,,,,,,
雨***5,2018-6-7 06:13,用着可以，给妈妈买的，手机拿着在床上看不累手，家里好几部小米手机。,,,,,,,,,
宇***妞,2018-6-10 14:31,等使用追加,,,,,,,,,
俞***峰,2018-6-18 22:14,很不错 妈妈用着挺好 就是声音还不够大,,,,,,,,,
鱼***觞,2018-6-20 17:35,客服的态度不好，把我的问题转了多次,,,,,,,,,
鱼***门,2018-6-8 12:12,我用红米还蛮好。就给我爸买了。刚好特价。还不错,,,,,,,,,
余***行,2018-6-8 23:19,非常好的手机，用小米手机好几年了。,,,,,,,,,
余***5,2018-6-7 13:37,正在使用中，没发现什么大问题！很喜欢！价格合适大小合适,,,,,,,,,
有***完,2018-6-9 11:33,质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  给老爸买的,,,,,,,,
有***道,2018-6-16 02:33,包装不太好  现在连手机壳都不送了,,,,,,,,,
友***厂,2018-6-11 16:12,实惠又好用,,,,,,,,,
悠***叶,2018-6-16 22:24,这个是给妈妈买的，暂时没有，因为要换手机卡，以前在旗舰店买过红米手机还不错，这个应该也不会有问题吧,,,,,,,,,
悠***心,2018-6-21 15:09,不错，买的第三个小米手机了，家人很喜欢！,,,,,,,,,
忧***l,2018-6-15 19:17,很好，挺流畅的，老爸觉得可以！,,,,,,,,,
颖***得,2018-5-24 22:05,发货超快，昨晚下单今天中午就收到货了。。。超满意&hellip;&hellip;,,,,,,,,,
樱***2,2018-6-8 15:29,支持小米 不错的公司 以后会有很大发展,,,,,,,,,
英***6,2018-6-14 00:13,再用一些日子再说吧,,,,,,,,,
隐***儿,2018-6-11 08:20,挺好的，性价比非常高了～,,,,,,,,,
引***义,2018-6-7 06:52,给老人用的，挺好的，操作流畅，外观漂亮，希望能耐用。,,,,,,,,,
尹***哥,2018-6-11 13:30,说实话这手机的性价比是没谁了！给老爸买的，他很喜欢！就是wifi不如去年给老妈买的4x信号好！总体还是好的！全家小米，最近我有打算上手米8了，支小米！Are you OK？,,,,,,,,,
银***淘,2018-6-12 08:11,买给妈妈用的，顺丰快递到货很快。手机用起来比之前的红米2好用。目前一切正常 希望经久耐用。,,,,,,,,,
茵***9,2018-6-18 21:15,作为备用机可以,,,,,,,,,
奕***s,2018-6-17 21:57,挺好的，这我麻麻买的。,,,,,,,,,
忆***？,2018-6-17 22:15,手机很方便，时潮流，物有所值，功能强大,,,,,,,,,
