id,color,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天***8,黑色,，在商场里逛了一圈，发现还是小米的性价比应该是最高，用了两天，感觉不错，图像清晰流畅，赞一个,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q***1,黑色,：用了几天才来评价的，总体还是挺满意的，电视轻薄，挪动方便，画质也能接受，操作系统也没毛病，这个价位来说是推荐小米的！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s***r,黑色,【送给各位小仙女，当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，如果不好 我会直接说的。所以大家就当作是产品质量合格的意思来看就行了。最后祝店家越做越好，大家幸福平安，中华民族繁荣昌盛,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j***5,黑色,1.客服给的安装电话永远打不通。2.客服建议自己动手安装，安装上去后，插线的位置和颜色对不上，客服根本无法沟通。3.要求电话回复未果。4.真心垃圾客服，和售后。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x***9,黑色,6.18便宜了一块钱 接口能优化些会更好，别的都还好。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m***1,黑色,618非常实惠，物流也很快，一回家就装上看电视了,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林***佳,黑色,618搞活动买的，价格很实惠，才799，放在主卧，无聊的时候追追剧，就是物流不给力，11号买的，14号才给我送过来，还是同城快递，物流还写着收件人电话无法接通，明明是下雨没给我送，明明写着送货入户，还让我们自己搬，物流公司服务态度差，还好电视质量还行，播放效果也不错，就是广告时间太长了100多秒，中间还要插播广告，会员又特别贵～,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刺***1,黑色,618活动才买的机子，到货不到两天机子就出现黑点了，联系的客服，说要工作人员检测才行，工作人员上门检测后，直接换了一台机子（包装上是售后用机）。换完机子后才发现和原先到货机子的有些许不一样，换了机子没有保护膜等。开机升级的次数也不一样，换了机子升级了两次才能用。再次联系客服，客服的解释是机子生产的批次不同。呵呵了。客服也不提七天包退的内容。第一次网购家电还是比较失望的。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石***生,黑色,899买的，画质清晰，就是不知道咋回事，放某讯的平台，屏幕一会一会的闪,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
写***狂,黑色,f小米官网发售后服务好的时候就知道非常好用的时候就什么时候回来了吗没有啊厦航航航拍中国移动通信工程造价工程师证明一下午安全教育平台软件工程造价工程师证明一下，好评，简单实用，效果不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z***卜,黑色,S速度快服你们务好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v***5,黑色,爱用国货 支持小米 小米爱用户 家里一堆小米，希望小米能给我一流的产品，平民价格。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x***4,黑色,安装师傅很负责,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m***0,黑色,帮舅舅买的   应该是不错的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱***切,黑色,帮老母亲买的，电视很清晰。老人家不会用只好卫星接收器。很好！好评！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布***荨,黑色,帮亲戚买的，还不知道怎么样,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滴***赵,黑色,帮亲戚买的、还不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
颜***9,黑色,包装很好 快递很快第二天就到了 服务态度很好 用着也很不错 希望能耐用 用几天在来评价,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平***1,黑色,包装精致，电视高大上。非常满意，唯一不足就是隔一个房间wifi信号不是满格。是不是内置接收器可以改进一下？,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小***3,黑色,宝贝安全到家。客服热情，给个满分。电视一般啦。凑合看。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g***8,黑色,宝贝不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大***3,黑色,宝贝不错！屏幕清晰画质好，下次还会购买,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l***8,黑色,宝贝不错，非常满意，满分五星好评。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪***0,黑色,宝贝不错，好评！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***6,黑色,宝贝不错，淘宝几年才知道原来评论85个字才会有积分。所以从今天到以后，这段话走到哪里就会复制到哪里。首先要保证质量啊，东西不赖啊。快递还送货上门，不然就用别的话来评论了。不知道这样子够不够85字。谢谢老板的认真检查。东西特别好，我不是刷评论的，我是觉得东西好我才买的，你会发现我每一家都是这么写的。因为复制一下就好了。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2***w,黑色,宝贝不错哦，卖家服务态度也很好，赞一个,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
