	comment	0
0	手机挺不错的	正面
1	手机给两个妈妈买的，蛮好用，她们都喜欢	正面
2	手机不错性价比高，买台给孩子用，希望能用长久点。	正面
3	这个估计是买的第七个小米了，全家小米，棒棒哒	正面
4	挺舒服的比我自己苹果6p都舒服?手机一点也不卡用了几天还不错5??好评一个	正面
5	帮朋友买的，收到说很满意，旗舰店的东西还是很放心的。	正面
6	挺好，满意	正面
7	这款手机买来给爸爸用的，目前没听老爸说有啥毛病，应该还可以吧	正面
8	给老人用还行	正面
9	物美价廉，值得入手，价位低还是正品，简直买到就是赚到，喜欢的亲完全可以信任他家，我也是比较了很多才选择他家的，收到货品后我确认选对了，低价位高品质，值得再次光顾和信赖！	正面
10	感觉还行	正面
11	送给老爸的，老爸很喜欢用着挺好的。商家发的顺丰，第二天就到货了，物流超赞，超赞。比这边实体店便宜。老爸点名要的小米手机，说是网好。	正面
12	用了两天再来评价的。手机电池续航能力一般，打打电话什么的用个两三天还是可以的。拿在手上质感不错，尤其是送的磨砂贴膜。不太喜欢背面的曲面。总体操作还是比较舒服的，与之前用的米4使用上更方便了。699这个价格可以接受了，毕竟还是全网通的。	负面
13	东西很不错，小米的手机都是一如既往地好，质量好，价格低，好评不解释。很喜欢这个特不错，真的很好，很好看的啊！	正面
14	发货速度快，小米就是好！	正面
15	儿子给买的，挺好的，字可以调大，声音也够大。用着挺舒服的。非常满意。	正面
16	不错，运行速度贼快，贼快，贼快	正面
17	目前还不不错，先好评吧	正面
18	第一份工资~送老妈的	正面
19	很满意，给老爸买的，已经用了段时间，目前没什么问题。	正面
20	此用户没有填写评论!	正面
21	小米性价比还是没得说的	正面
22	价格优惠，很好有，比较好	正面
23	一份价钱一分货 手机发烫严重 字体屏幕能变大微信什么的软件打开还是小字体老人用不了	负面
24	帮公公买的，不知道怎样，先给好评。便宜	正面
25	小巧，美观。用着方便。	正面
26	手机还是比较有手感，够用了	正面
27	此用户没有填写评论!	正面
28	大家千万不要在这里买这个手机，我买了十天不到，完全用不了了，每天找客服退，他们一直不处理，也不给退，真的好厌烦了，绝对真实	负面
29	帮朋友买的。占时还没问题。衣服追评看看	正面
30	此用户没有填写评论!	正面
31	过几天好用给爸再买一个	正面
32	小米手机感觉非常好，原来一直用杂牌机，现在用了小米，感觉反应速度非常快，电池耐用持久，我想说，以后我只会买，小米	正面
33	很好的，手机很好，外公很喜欢，我家一家都是小米	正面
34	手机是帮我妈买的，好像她说也还行，以后追评	负面
35	手机质量很好   用了十多天目前没有任何问题	正面
36	不错，送公公的，他挺喜欢	正面
37	喜欢，好用，忠实米粉、	正面
38	怎么说呢，我刚买不够10个小时就降价了几十块，虽然不多，但是心里不好受，另外就是，这是真的老人机，玩农药勉强能玩，会很卡，各位要下手的要注意了解这点，再说一次，这是老人机老人机老人机	负面
39	屏幕清晰 外观漂亮 功能齐全 发货及时	正面
40	手机很好用 妈妈很喜欢	正面
41	给家里人买的，很好用	正面
42	用着挺满意的，老妈很喜欢这款颜色，卖家服务也很好，祝你们生意兴隆&hellip;&hellip;	正面
43	手机不错，给妈妈买的，到的很快	正面
44	此用户没有填写评论!	正面
45	很好，再来当备用机，非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好	正面
46	不错，信号比较强 可以接受吧 可以接受吧，毕竟价钱摆在那里 与其它手机差不多。 这个档次的手机算不错的。 没接触过。	负面
47	给家里老人买的，挺好用的。价钱也便宜，挺实惠的	正面
48	货收到几天了，用了之后才来评价。个人感觉还不错，物美价廉吧！	正面
49	客服态度很好，我老妈给我说屏碎了，我赶紧找客服，对话如下，后来让老妈把保护膜撕了发现是膜坏了～	负面
50	一直买小米手机	正面
51	给爷爷买的，好用	正面
